 Embeddings Trainable: True 

 --- 5 ---,  Epoch: 12, Average train loss: 1.565869, Train accuracy: 0.456714, Valid accuracy: 0.270249, Test accuracy: 0.261107
 --- 5 ---,  Epoch: 13, Average train loss: 1.553266, Train accuracy: 0.466647, Valid accuracy: 0.267913, Test accuracy: 0.258768
 --- 5 ---,  Epoch: 14, Average train loss: 1.541163, Train accuracy: 0.475119, Valid accuracy: 0.274922, Test accuracy: 0.263445
 --- 5 ---,  Epoch: 15, Average train loss: 1.529410, Train accuracy: 0.485929, Valid accuracy: 0.276480, Test accuracy: 0.260327
 --- 5 ---,  Epoch: 16, Average train loss: 1.514670, Train accuracy: 0.496056, Valid accuracy: 0.272586, Test accuracy: 0.262666
 --- 5 ---,  Epoch: 17, Average train loss: 1.502872, Train accuracy: 0.505599, Valid accuracy: 0.268692, Test accuracy: 0.261886
 --- 5 ---,  Epoch: 18, Average train loss: 1.484016, Train accuracy: 0.514169, Valid accuracy: 0.269470, Test accuracy: 0.263445
 --- 5 ---,  Epoch: 19, Average train loss: 1.481209, Train accuracy: 0.527510, Valid accuracy: 0.268692, Test accuracy: 0.264224
 --- 5 ---,  Epoch: 20, Average train loss: 1.461230, Train accuracy: 0.532671, Valid accuracy: 0.277259, Test accuracy: 0.267342
 --- 5 ---,  Epoch: 21, Average train loss: 1.454878, Train accuracy: 0.542799, Valid accuracy: 0.272586, Test accuracy: 0.269680
 --- 5 ---,  Epoch: 22, Average train loss: 1.438277, Train accuracy: 0.551271, Valid accuracy: 0.271028, Test accuracy: 0.273578
 --- 5 ---,  Epoch: 23, Average train loss: 1.430387, Train accuracy: 0.561593, Valid accuracy: 0.270249, Test accuracy: 0.269680
 --- 5 ---,  Epoch: 24, Average train loss: 1.418116, Train accuracy: 0.565878, Valid accuracy: 0.270249, Test accuracy: 0.270460
 --- 5 ---,  Epoch: 25, Average train loss: 1.401558, Train accuracy: 0.571915, Valid accuracy: 0.269470, Test accuracy: 0.271239
 --- 5 ---,  Epoch: 26, Average train loss: 1.396201, Train accuracy: 0.581848, Valid accuracy: 0.267913, Test accuracy: 0.270460
 --- 5 ---,  Epoch: 27, Average train loss: 1.377528, Train accuracy: 0.590223, Valid accuracy: 0.265576, Test accuracy: 0.278254
 --- 5 ---,  Epoch: 28, Average train loss: 1.371066, Train accuracy: 0.598598, Valid accuracy: 0.264019, Test accuracy: 0.274357
 --- 5 ---,  Epoch: 29, Average train loss: 1.360881, Train accuracy: 0.607557, Valid accuracy: 0.267134, Test accuracy: 0.276695
 --- 6 ---,  Epoch: 0, Average train loss: 1.775538, Train accuracy: 0.260493, Valid accuracy: 0.242212, Test accuracy: 0.233827
 --- 6 ---,  Epoch: 1, Average train loss: 1.734981, Train accuracy: 0.287175, Valid accuracy: 0.253894, Test accuracy: 0.240842
 --- 6 ---,  Epoch: 2, Average train loss: 1.715662, Train accuracy: 0.308501, Valid accuracy: 0.267134, Test accuracy: 0.250195
 --- 6 ---,  Epoch: 3, Average train loss: 1.698442, Train accuracy: 0.321940, Valid accuracy: 0.268692, Test accuracy: 0.253313
 --- 6 ---,  Epoch: 4, Average train loss: 1.683557, Train accuracy: 0.344727, Valid accuracy: 0.260125, Test accuracy: 0.252533
 --- 6 ---,  Epoch: 5, Average train loss: 1.668427, Train accuracy: 0.361282, Valid accuracy: 0.264798, Test accuracy: 0.257210
 --- 6 ---,  Epoch: 6, Average train loss: 1.650865, Train accuracy: 0.377057, Valid accuracy: 0.259346, Test accuracy: 0.268901
 --- 6 ---,  Epoch: 7, Average train loss: 1.637921, Train accuracy: 0.391664, Valid accuracy: 0.266355, Test accuracy: 0.268901
 --- 6 ---,  Epoch: 8, Average train loss: 1.621346, Train accuracy: 0.406661, Valid accuracy: 0.270249, Test accuracy: 0.263445
 --- 6 ---,  Epoch: 9, Average train loss: 1.604877, Train accuracy: 0.421171, Valid accuracy: 0.271807, Test accuracy: 0.268122
 --- 6 ---,  Epoch: 10, Average train loss: 1.593828, Train accuracy: 0.435388, Valid accuracy: 0.268692, Test accuracy: 0.264224
 --- 6 ---,  Epoch: 11, Average train loss: 1.578350, Train accuracy: 0.446684, Valid accuracy: 0.270249, Test accuracy: 0.272798
 --- 6 ---,  Epoch: 12, Average train loss: 1.564145, Train accuracy: 0.460512, Valid accuracy: 0.265576, Test accuracy: 0.266563
 --- 6 ---,  Epoch: 13, Average train loss: 1.552117, Train accuracy: 0.471808, Valid accuracy: 0.266355, Test accuracy: 0.267342
 --- 6 ---,  Epoch: 14, Average train loss: 1.537729, Train accuracy: 0.482325, Valid accuracy: 0.268692, Test accuracy: 0.270460
 --- 6 ---,  Epoch: 15, Average train loss: 1.522194, Train accuracy: 0.491284, Valid accuracy: 0.265576, Test accuracy: 0.267342
 --- 6 ---,  Epoch: 16, Average train loss: 1.510036, Train accuracy: 0.502288, Valid accuracy: 0.265576, Test accuracy: 0.265004
 --- 6 ---,  Epoch: 17, Average train loss: 1.499136, Train accuracy: 0.511734, Valid accuracy: 0.271028, Test accuracy: 0.266563
 --- 6 ---,  Epoch: 18, Average train loss: 1.485354, Train accuracy: 0.520012, Valid accuracy: 0.271807, Test accuracy: 0.265004
