 CRNN

 --- Experiment: 5,  Epoch: 0, Average train loss: 1.765299, Train accuracy: 0.242964, Valid accuracy: 0.226636, Test accuracy: 0.215121
 --- Experiment: 5,  Epoch: 1, Average train loss: 1.733594, Train accuracy: 0.259811, Valid accuracy: 0.248442, Test accuracy: 0.238504
 --- Experiment: 5,  Epoch: 2, Average train loss: 1.714694, Train accuracy: 0.272471, Valid accuracy: 0.267134, Test accuracy: 0.247077
 --- Experiment: 5,  Epoch: 3, Average train loss: 1.699290, Train accuracy: 0.289317, Valid accuracy: 0.268692, Test accuracy: 0.246298
 --- Experiment: 5,  Epoch: 4, Average train loss: 1.686232, Train accuracy: 0.301490, Valid accuracy: 0.276480, Test accuracy: 0.256430
 --- Experiment: 5,  Epoch: 5, Average train loss: 1.672282, Train accuracy: 0.311910, Valid accuracy: 0.277259, Test accuracy: 0.265004
 --- Experiment: 5,  Epoch: 6, Average train loss: 1.658769, Train accuracy: 0.320771, Valid accuracy: 0.274922, Test accuracy: 0.274357
 --- Experiment: 5,  Epoch: 7, Average train loss: 1.646014, Train accuracy: 0.327198, Valid accuracy: 0.272586, Test accuracy: 0.276695
 --- Experiment: 5,  Epoch: 8, Average train loss: 1.633386, Train accuracy: 0.337229, Valid accuracy: 0.272586, Test accuracy: 0.276695
 --- Experiment: 5,  Epoch: 9, Average train loss: 1.619940, Train accuracy: 0.348622, Valid accuracy: 0.264798, Test accuracy: 0.276695
 --- Experiment: 5,  Epoch: 10, Average train loss: 1.605762, Train accuracy: 0.360405, Valid accuracy: 0.264798, Test accuracy: 0.279034
 --- Experiment: 5,  Epoch: 11, Average train loss: 1.590217, Train accuracy: 0.369169, Valid accuracy: 0.257788, Test accuracy: 0.284489
 --- Experiment: 5,  Epoch: 12, Average train loss: 1.577198, Train accuracy: 0.381731, Valid accuracy: 0.257009, Test accuracy: 0.283710
 --- Experiment: 5,  Epoch: 13, Average train loss: 1.560095, Train accuracy: 0.393417, Valid accuracy: 0.253894, Test accuracy: 0.275916
 --- Experiment: 5,  Epoch: 14, Average train loss: 1.543033, Train accuracy: 0.405297, Valid accuracy: 0.255452, Test accuracy: 0.275916
 --- Experiment: 5,  Epoch: 15, Average train loss: 1.527491, Train accuracy: 0.416009, Valid accuracy: 0.254673, Test accuracy: 0.270460
 --- Experiment: 5,  Epoch: 16, Average train loss: 1.509085, Train accuracy: 0.423995, Valid accuracy: 0.264019, Test accuracy: 0.268122
 --- Experiment: 5,  Epoch: 17, Average train loss: 1.489748, Train accuracy: 0.439868, Valid accuracy: 0.261682, Test accuracy: 0.269680
 --- Experiment: 5,  Epoch: 18, Average train loss: 1.470615, Train accuracy: 0.444834, Valid accuracy: 0.267913, Test accuracy: 0.269680
 --- Experiment: 5,  Epoch: 19, Average train loss: 1.457188, Train accuracy: 0.460220, Valid accuracy: 0.259346, Test accuracy: 0.275136
 --- Experiment: 5,  Epoch: 20, Average train loss: 1.442868, Train accuracy: 0.468303, Valid accuracy: 0.266355, Test accuracy: 0.265783
 --- Experiment: 5,  Epoch: 21, Average train loss: 1.418772, Train accuracy: 0.473561, Valid accuracy: 0.258567, Test accuracy: 0.261886
 --- Experiment: 5,  Epoch: 22, Average train loss: 1.405008, Train accuracy: 0.490603, Valid accuracy: 0.254673, Test accuracy: 0.265783
 --- Experiment: 5,  Epoch: 23, Average train loss: 1.382556, Train accuracy: 0.503652, Valid accuracy: 0.253115, Test accuracy: 0.259548
 --- Experiment: 5,  Epoch: 24, Average train loss: 1.372672, Train accuracy: 0.511053, Valid accuracy: 0.254673, Test accuracy: 0.245518
 --- Experiment: 5,  Epoch: 25, Average train loss: 1.348847, Train accuracy: 0.516311, Valid accuracy: 0.253894, Test accuracy: 0.262666
 --- Experiment: 5,  Epoch: 26, Average train loss: 1.338752, Train accuracy: 0.528192, Valid accuracy: 0.257788, Test accuracy: 0.249415
 --- Experiment: 5,  Epoch: 27, Average train loss: 1.319041, Train accuracy: 0.536664, Valid accuracy: 0.246106, Test accuracy: 0.257210
 --- Experiment: 5,  Epoch: 28, Average train loss: 1.301178, Train accuracy: 0.543773, Valid accuracy: 0.246106, Test accuracy: 0.246298
 --- Experiment: 5,  Epoch: 29, Average train loss: 1.287082, Train accuracy: 0.556042, Valid accuracy: 0.244548, Test accuracy: 0.255651
 --- Experiment: 6,  Epoch: 0, Average train loss: 1.782723, Train accuracy: 0.231279, Valid accuracy: 0.200935, Test accuracy: 0.208106
 --- Experiment: 6,  Epoch: 1, Average train loss: 1.742227, Train accuracy: 0.258156, Valid accuracy: 0.242212, Test accuracy: 0.240062
 --- Experiment: 6,  Epoch: 2, Average train loss: 1.719077, Train accuracy: 0.273834, Valid accuracy: 0.240654, Test accuracy: 0.253313
 --- Experiment: 6,  Epoch: 3, Average train loss: 1.703050, Train accuracy: 0.284156, Valid accuracy: 0.252336, Test accuracy: 0.261107
 --- Experiment: 6,  Epoch: 4, Average train loss: 1.688254, Train accuracy: 0.295063, Valid accuracy: 0.259346, Test accuracy: 0.260327
 --- Experiment: 6,  Epoch: 5, Average train loss: 1.676020, Train accuracy: 0.305190, Valid accuracy: 0.257788, Test accuracy: 0.267342
 --- Experiment: 6,  Epoch: 6, Average train loss: 1.664440, Train accuracy: 0.314734, Valid accuracy: 0.260903, Test accuracy: 0.276695
 --- Experiment: 6,  Epoch: 7, Average train loss: 1.650200, Train accuracy: 0.322914, Valid accuracy: 0.260903, Test accuracy: 0.278254
 --- Experiment: 6,  Epoch: 8, Average train loss: 1.637196, Train accuracy: 0.330509, Valid accuracy: 0.261682, Test accuracy: 0.277475
 --- Experiment: 6,  Epoch: 9, Average train loss: 1.623806, Train accuracy: 0.338105, Valid accuracy: 0.265576, Test accuracy: 0.279034
 --- Experiment: 6,  Epoch: 10, Average train loss: 1.609746, Train accuracy: 0.347161, Valid accuracy: 0.260903, Test accuracy: 0.271239
 --- Experiment: 6,  Epoch: 11, Average train loss: 1.593795, Train accuracy: 0.356607, Valid accuracy: 0.254673, Test accuracy: 0.277475
